Username,Comment
@RajeshArya-wq9oh,"Ek actor ko pakarne k liye bana,qki murder law, government isliye fasa qki danga prove k sath,"
@RajeshArya-wq9oh,"Ya chhipa hua crime Cid 727 ko isliye government dia qki government fas chuka, warna nuksaan,"
@RajeshArya-wq9oh,"Chhipa hua crime isliye qki god ka wish hai kisi mandir ka hai isliye, government ne dia research kar k sabit kar sahi baat hai kya,mandir ka rashsay,"
@RajeshArya-wq9oh,"Isi kaya kalp k sath Cid 727 banay Abhishek Bachchan,chhupa hua crime pakar e k liye,"
@kuldeepsingh-xc2qq,Yes best & enrgygetic 🤘song 🤘
@FarhanaKamalCherry,Rani
@Piyrimanalvlogs,Awesome ❤❤
@mariamshafiq2756,Abishek😮🙄
@swatitiwari18051992,"wtf are Abhishek's expressions , looks constipated :P"
@Premonbreak00,Ye gaana Abhishek bachchu ko dekhe bina hi achchha lagta hai
@Policebharti579,Abhishek bacchan the pioneer of dance in bollywood
@chandanaghosh-js6dd,❤❤❤❤😂🎉
@ShanSports-i6b,This is called fire dance 😂😂😂
@rishkesh1956,0:28 Rani's muscles look marvellous. lovely delts and biceps
@RayyanAhmad-e7h,Ross and Monica doing the routine😂
@SHAHWAIZGHAZI,NO ONE CAN MATCH IN DANCE ENERGY OF RANI N RAVEENA AROUND 90S AND 2000S
@amritsinghania2722,Those who don't know ismey sushant singh rajput bhi h as a background dancer
@SyedRafaqatAli-y5r,My favrat song
@ruchitasingh9745,"This is dance, music and choreography"
@mayukhroy3378,Rani is the OG !
@saymapatel6294,Rare can spot choreographer Marzi sir in the song.
@Jitesh_vyas,Nostalgia 😢
@roomi91,Sushant singh was also in back ground dancers۔💔
@pranitalimbasarkar9939,Rani the real queen ❤
@Bhanupriya-i8h,3.56 That  all boys are very cute and handsome😂😂
@ShashiSingh-ek9nb,Very nice dance and song ❤❤❤
@jayabehl1920,Shivani tere ko maarna hae
@jayabehl1920,Pata nahi tha iska sach ishant Kumar azad Abhi tak
@jayabehl1920,Sach dikha ishant Kumar azad
@mithunsen5140,Rani mukherjee is soo hot & sexy in this song her steps are just outstanding
@NemysisPrime,My childhood and forever crush❤❤❤ Rani Mukherjee.....ufff... She's on fire 🔥🔥🔥
@karnalfaizi896,2027 wale attendance do 🎉❤😂😮😅
@aasthaashi0500,"I coudn't stop  looking at the light blue costumes of the female background dancers. The choreography is such that the green colors under those blue pleats are revealed when they do their leg movements. Its quite pretty though. Its creating a contrast. Just look at 2.05, then at 2.45."
@mdzahid2151,😢😭😪 Miss kori 14 year's saal k. Koto sritri ache buker vitor 😭
@DharmveerPal-zb1ho,Kaun kaun dashehra ke daswe din dekh raha hai❤❤
@pruthvirajchavan5899,Imagine this song releas in 2024 and playing theatres 😍😍
